top,bottom,type,count
172.30.1.77,10.0.0.11,TCP-OTHER-IN,5
172.30.2.107,10.0.0.11,TCP-OTHER-IN,4
172.30.2.122,10.0.0.11,TCP-OTHER-IN,2
172.10.1.117,10.0.0.12,TCP-OTHER-IN,1
172.10.1.125,10.0.0.12,TCP-OTHER-IN,1
172.10.1.170,10.0.0.12,TCP-OTHER-IN,3
172.10.1.195,10.0.0.12,TCP-OTHER-IN,2
172.10.1.37,10.0.0.12,TCP-OTHER-IN,2
172.10.1.54,10.0.0.12,TCP-OTHER-IN,6
172.10.1.97,10.0.0.12,TCP-OTHER-IN,3
172.10.2.76,10.0.0.12,TCP-OTHER-IN,4
172.20.1.16,10.0.0.12,TCP-OTHER-IN,3
172.20.1.207,10.0.0.12,TCP-OTHER-IN,2
172.20.1.52,10.0.0.12,TCP-OTHER-IN,2
172.20.1.67,10.0.0.12,TCP-OTHER-IN,1
172.20.1.74,10.0.0.12,TCP-OTHER-IN,6
172.20.1.79,10.0.0.12,TCP-OTHER-IN,4
172.20.1.91,10.0.0.12,TCP-OTHER-IN,2
172.20.2.111,10.0.0.12,TCP-OTHER-IN,2
172.20.2.126,10.0.0.12,TCP-OTHER-IN,2
172.20.2.134,10.0.0.12,TCP-OTHER-IN,10
172.20.2.143,10.0.0.12,TCP-OTHER-IN,1
172.20.2.69,10.0.0.12,TCP-OTHER-IN,2
172.30.1.126,10.0.0.12,TCP-OTHER-IN,7
172.30.1.143,10.0.0.12,TCP-OTHER-IN,3
172.30.1.16,10.0.0.12,TCP-OTHER-IN,2
172.30.1.176,10.0.0.12,TCP-OTHER-IN,7
172.30.1.197,10.0.0.12,TCP-OTHER-IN,2
172.30.1.204,10.0.0.12,TCP-OTHER-IN,1
172.30.1.211,10.0.0.12,TCP-OTHER-IN,10
172.30.1.215,10.0.0.12,TCP-OTHER-IN,7
172.30.1.5,10.0.0.12,TCP-OTHER-IN,2
172.10.1.156,10.0.0.13,TCP-OTHER-IN,2
172.10.1.199,10.0.0.13,TCP-OTHER-IN,4
172.10.1.211,10.0.0.13,TCP-OTHER-IN,2
172.10.1.224,10.0.0.13,TCP-OTHER-IN,3
172.10.1.251,10.0.0.13,TCP-OTHER-IN,7
172.10.1.253,10.0.0.13,TCP-OTHER-IN,3
172.10.1.26,10.0.0.13,TCP-OTHER-IN,6
172.10.1.62,10.0.0.13,TCP-OTHER-IN,2
172.10.1.90,10.0.0.13,TCP-OTHER-IN,5
172.10.1.95,10.0.0.13,TCP-OTHER-IN,3
172.10.2.114,10.0.0.13,TCP-OTHER-IN,7
172.10.2.117,10.0.0.13,TCP-OTHER-IN,1
172.10.2.140,10.0.0.13,TCP-OTHER-IN,2
172.10.2.50,10.0.0.13,TCP-OTHER-IN,1
172.20.1.12,10.0.0.13,TCP-OTHER-IN,5
172.20.1.223,10.0.0.13,TCP-OTHER-IN,6
172.20.1.225,10.0.0.13,TCP-OTHER-IN,2
172.20.1.245,10.0.0.13,TCP-OTHER-IN,2
172.20.1.254,10.0.0.13,TCP-OTHER-IN,11
172.20.1.53,10.0.0.13,TCP-OTHER-IN,3
172.20.1.77,10.0.0.13,TCP-OTHER-IN,4
172.20.1.89,10.0.0.13,TCP-OTHER-IN,1
172.20.1.90,10.0.0.13,TCP-OTHER-IN,4
172.20.2.113,10.0.0.13,TCP-OTHER-IN,2
172.20.2.137,10.0.0.13,TCP-OTHER-IN,1
172.20.2.73,10.0.0.13,TCP-OTHER-IN,6
172.30.1.119,10.0.0.13,TCP-OTHER-IN,5
172.30.1.12,10.0.0.13,TCP-OTHER-IN,2
172.30.1.136,10.0.0.13,TCP-OTHER-IN,5
172.30.1.138,10.0.0.13,TCP-OTHER-IN,3
172.30.1.143,10.0.0.13,TCP-OTHER-IN,2
172.30.1.172,10.0.0.13,TCP-OTHER-IN,4
172.30.1.182,10.0.0.13,TCP-OTHER-IN,4
172.30.1.185,10.0.0.13,TCP-OTHER-IN,6
172.30.1.220,10.0.0.13,TCP-OTHER-IN,2
172.30.1.224,10.0.0.13,TCP-OTHER-IN,7
172.30.1.48,10.0.0.13,TCP-OTHER-IN,2
172.30.1.60,10.0.0.13,TCP-OTHER-IN,2
172.30.2.106,10.0.0.13,TCP-OTHER-IN,2
172.30.2.144,10.0.0.13,TCP-OTHER-IN,1
172.10.1.123,10.0.0.14,TCP-OTHER-IN,3
172.10.1.132,10.0.0.14,TCP-OTHER-IN,5
172.10.1.159,10.0.0.14,TCP-OTHER-IN,1
172.10.1.240,10.0.0.14,TCP-OTHER-IN,2
172.10.1.248,10.0.0.14,TCP-OTHER-IN,6
172.10.2.117,10.0.0.14,TCP-OTHER-IN,3
172.10.2.144,10.0.0.14,TCP-OTHER-IN,1
172.20.1.18,10.0.0.14,TCP-OTHER-IN,3
172.20.1.23,10.0.0.14,TCP-OTHER-IN,1
172.20.1.241,10.0.0.14,TCP-OTHER-IN,6
172.20.1.250,10.0.0.14,TCP-OTHER-IN,3
172.20.1.69,10.0.0.14,TCP-OTHER-IN,3
172.20.1.99,10.0.0.14,TCP-OTHER-IN,4
172.20.2.53,10.0.0.14,TCP-OTHER-IN,5
172.30.1.114,10.0.0.14,TCP-OTHER-IN,9
172.30.1.2,10.0.0.14,TCP-OTHER-IN,4
172.30.1.200,10.0.0.14,TCP-OTHER-IN,3
172.30.1.233,10.0.0.14,TCP-OTHER-IN,11
172.30.1.250,10.0.0.14,TCP-OTHER-IN,10
172.30.1.41,10.0.0.14,TCP-OTHER-IN,1
172.30.1.60,10.0.0.14,TCP-OTHER-IN,2
172.30.1.74,10.0.0.14,TCP-OTHER-IN,2
172.30.1.87,10.0.0.14,TCP-OTHER-IN,9
172.30.2.87,10.0.0.14,TCP-OTHER-IN,3
172.10.1.136,10.0.0.5,TCP-OTHER-IN,2
172.10.1.193,10.0.0.5,TCP-OTHER-IN,1
172.10.1.46,10.0.0.5,TCP-OTHER-IN,2
172.10.2.100,10.0.0.5,TCP-OTHER-IN,2
172.10.2.66,10.0.0.5,TCP-OTHER-IN,7
172.10.2.92,10.0.0.5,TCP-OTHER-IN,7
172.20.1.202,10.0.0.5,TCP-OTHER-IN,7
172.20.1.21,10.0.0.5,TCP-OTHER-IN,3
172.20.1.225,10.0.0.5,TCP-OTHER-IN,5
172.20.1.229,10.0.0.5,TCP-OTHER-IN,9
172.20.1.244,10.0.0.5,TCP-OTHER-IN,3
172.20.1.249,10.0.0.5,TCP-OTHER-IN,7
172.20.1.254,10.0.0.5,TCP-OTHER-IN,2
172.20.1.32,10.0.0.5,TCP-OTHER-IN,3
172.20.1.82,10.0.0.5,TCP-OTHER-IN,4
172.20.1.85,10.0.0.5,TCP-OTHER-IN,2
172.20.1.94,10.0.0.5,TCP-OTHER-IN,2
172.20.2.132,10.0.0.5,TCP-OTHER-IN,4
172.20.2.60,10.0.0.5,TCP-OTHER-IN,1
172.20.2.65,10.0.0.5,TCP-OTHER-IN,3
172.30.1.127,10.0.0.5,TCP-OTHER-IN,1
172.30.1.13,10.0.0.5,TCP-OTHER-IN,5
172.30.1.184,10.0.0.5,TCP-OTHER-IN,3
172.30.1.193,10.0.0.5,TCP-OTHER-IN,2
172.30.1.204,10.0.0.5,TCP-OTHER-IN,3
172.30.1.225,10.0.0.5,TCP-OTHER-IN,8
172.30.1.246,10.0.0.5,TCP-OTHER-IN,7
172.30.1.29,10.0.0.5,TCP-OTHER-IN,2
172.30.1.48,10.0.0.5,TCP-OTHER-IN,2
172.30.1.73,10.0.0.5,TCP-OTHER-IN,2
172.30.2.116,10.0.0.5,TCP-OTHER-IN,4
172.10.1.151,10.0.0.6,TCP-OTHER-IN,3
172.10.1.206,10.0.0.6,TCP-OTHER-IN,4
172.10.1.34,10.0.0.6,TCP-OTHER-IN,4
172.10.1.42,10.0.0.6,TCP-OTHER-IN,4
172.10.1.6,10.0.0.6,TCP-OTHER-IN,1
172.10.2.119,10.0.0.6,TCP-OTHER-IN,3
172.10.2.95,10.0.0.6,TCP-OTHER-IN,4
172.20.1.216,10.0.0.6,TCP-OTHER-IN,5
172.20.1.31,10.0.0.6,TCP-OTHER-IN,2
172.20.1.43,10.0.0.6,TCP-OTHER-IN,2
172.20.1.69,10.0.0.6,TCP-OTHER-IN,6
172.20.1.9,10.0.0.6,TCP-OTHER-IN,4
172.20.2.131,10.0.0.6,TCP-OTHER-IN,8
172.20.2.135,10.0.0.6,TCP-OTHER-IN,3
172.20.2.144,10.0.0.6,TCP-OTHER-IN,2
172.20.2.71,10.0.0.6,TCP-OTHER-IN,5
172.30.1.17,10.0.0.6,TCP-OTHER-IN,4
172.30.1.174,10.0.0.6,TCP-OTHER-IN,3
172.30.1.183,10.0.0.6,TCP-OTHER-IN,2
172.30.1.189,10.0.0.6,TCP-OTHER-IN,3
172.30.1.19,10.0.0.6,TCP-OTHER-IN,1
172.30.1.195,10.0.0.6,TCP-OTHER-IN,1
172.30.1.197,10.0.0.6,TCP-OTHER-IN,1
172.30.1.242,10.0.0.6,TCP-OTHER-IN,11
172.30.1.60,10.0.0.6,TCP-OTHER-IN,1
172.30.1.65,10.0.0.6,TCP-OTHER-IN,4
172.30.1.89,10.0.0.6,TCP-OTHER-IN,3
172.30.2.124,10.0.0.6,TCP-OTHER-IN,3
172.30.2.132,10.0.0.6,TCP-OTHER-IN,4
172.30.2.136,10.0.0.6,TCP-OTHER-IN,1
172.10.1.131,10.0.0.7,TCP-OTHER-IN,4
172.10.1.183,10.0.0.7,TCP-OTHER-IN,5
172.10.1.208,10.0.0.7,TCP-OTHER-IN,3
172.10.1.228,10.0.0.7,TCP-OTHER-IN,3
172.10.1.240,10.0.0.7,TCP-OTHER-IN,6
172.10.1.246,10.0.0.7,TCP-OTHER-IN,5
172.10.1.25,10.0.0.7,TCP-OTHER-IN,4
172.10.1.254,10.0.0.7,TCP-OTHER-IN,7
172.10.1.73,10.0.0.7,TCP-OTHER-IN,2
172.10.2.100,10.0.0.7,TCP-OTHER-IN,3
172.10.2.52,10.0.0.7,TCP-OTHER-IN,5
172.10.2.64,10.0.0.7,TCP-OTHER-IN,4
172.20.1.26,10.0.0.7,TCP-OTHER-IN,3
172.20.1.64,10.0.0.7,TCP-OTHER-IN,1
172.20.1.67,10.0.0.7,TCP-OTHER-IN,4
172.20.1.68,10.0.0.7,TCP-OTHER-IN,2
172.20.1.85,10.0.0.7,TCP-OTHER-IN,4
172.20.2.119,10.0.0.7,TCP-OTHER-IN,2
172.30.1.100,10.0.0.7,TCP-OTHER-IN,2
172.30.1.107,10.0.0.7,TCP-OTHER-IN,2
172.30.1.128,10.0.0.7,TCP-OTHER-IN,2
172.30.1.138,10.0.0.7,TCP-OTHER-IN,3
172.30.1.146,10.0.0.7,TCP-OTHER-IN,5
172.30.1.165,10.0.0.7,TCP-OTHER-IN,2
172.30.1.189,10.0.0.7,TCP-OTHER-IN,3
172.30.1.196,10.0.0.7,TCP-OTHER-IN,4
172.30.1.215,10.0.0.7,TCP-OTHER-IN,5
172.30.1.26,10.0.0.7,TCP-OTHER-IN,2
172.30.1.46,10.0.0.7,TCP-OTHER-IN,3
172.30.1.6,10.0.0.7,TCP-OTHER-IN,3
172.30.2.131,10.0.0.7,TCP-OTHER-IN,6
172.30.2.61,10.0.0.7,TCP-OTHER-IN,3
172.30.2.82,10.0.0.7,TCP-OTHER-IN,4
172.10.1.200,10.0.0.8,TCP-OTHER-IN,1
172.10.1.209,10.0.0.8,TCP-OTHER-IN,2
172.10.1.82,10.0.0.8,TCP-OTHER-IN,4
172.10.1.84,10.0.0.8,TCP-OTHER-IN,1
172.10.2.75,10.0.0.8,TCP-OTHER-IN,3
172.20.1.211,10.0.0.8,TCP-OTHER-IN,3
172.20.1.215,10.0.0.8,TCP-OTHER-IN,3
172.20.1.219,10.0.0.8,TCP-OTHER-IN,4
172.20.1.234,10.0.0.8,TCP-OTHER-IN,6
172.20.1.26,10.0.0.8,TCP-OTHER-IN,3
172.20.1.27,10.0.0.8,TCP-OTHER-IN,1
172.20.2.130,10.0.0.8,TCP-OTHER-IN,4
172.20.2.134,10.0.0.8,TCP-OTHER-IN,3
172.20.2.58,10.0.0.8,TCP-OTHER-IN,3
172.20.2.72,10.0.0.8,TCP-OTHER-IN,3
172.20.2.78,10.0.0.8,TCP-OTHER-IN,4
172.30.1.152,10.0.0.8,TCP-OTHER-IN,1
172.30.1.202,10.0.0.8,TCP-OTHER-IN,14
172.30.1.35,10.0.0.8,TCP-OTHER-IN,3
172.30.1.38,10.0.0.8,TCP-OTHER-IN,5
172.30.1.63,10.0.0.8,TCP-OTHER-IN,7
172.30.1.65,10.0.0.8,TCP-OTHER-IN,3
172.30.2.109,10.0.0.8,TCP-OTHER-IN,2
172.30.2.110,10.0.0.8,TCP-OTHER-IN,1
172.10.1.115,10.0.0.9,TCP-OTHER-IN,3
172.10.1.148,10.0.0.9,TCP-OTHER-IN,1
172.10.1.183,10.0.0.9,TCP-OTHER-IN,1
172.10.1.196,10.0.0.9,TCP-OTHER-IN,1
172.10.1.217,10.0.0.9,TCP-OTHER-IN,3
172.10.1.218,10.0.0.9,TCP-OTHER-IN,1
172.10.1.91,10.0.0.9,TCP-OTHER-IN,3
172.10.1.94,10.0.0.9,TCP-OTHER-IN,2
172.10.2.126,10.0.0.9,TCP-OTHER-IN,3
172.20.1.1,10.0.0.9,TCP-OTHER-IN,2
172.20.1.14,10.0.0.9,TCP-OTHER-IN,1
172.20.1.228,10.0.0.9,TCP-OTHER-IN,5
172.20.1.25,10.0.0.9,TCP-OTHER-IN,5
172.20.1.31,10.0.0.9,TCP-OTHER-IN,3
172.20.1.4,10.0.0.9,TCP-OTHER-IN,4
172.20.2.92,10.0.0.9,TCP-OTHER-IN,1
172.30.1.13,10.0.0.9,TCP-OTHER-IN,1
172.30.1.149,10.0.0.9,TCP-OTHER-IN,2
172.30.1.151,10.0.0.9,TCP-OTHER-IN,1
172.30.1.211,10.0.0.9,TCP-OTHER-IN,3
172.30.1.226,10.0.0.9,TCP-OTHER-IN,5
172.30.1.231,10.0.0.9,TCP-OTHER-IN,5
172.30.1.37,10.0.0.9,TCP-OTHER-IN,4
172.30.1.47,10.0.0.9,TCP-OTHER-IN,5
172.30.1.54,10.0.0.9,TCP-OTHER-IN,3
172.30.1.98,10.0.0.9,TCP-OTHER-IN,3
172.30.2.106,10.0.0.9,TCP-OTHER-IN,2
172.30.2.57,10.0.0.9,TCP-OTHER-IN,5
172.10.0.7,10.0.125.238,TCP-80-IN,636
172.20.0.6,10.0.125.25,TCP-80-IN,618
172.10.0.3,10.0.125.6,TCP-25-IN,3499
172.10.0.5,10.0.28.31,TCP-80-IN,5094
172.10.0.8,10.0.3.116,TCP-80-IN,587
172.10.0.4,10.0.3.169,TCP-80-IN,5763
172.30.0.4,10.0.3.178,TCP-25-IN,1443
172.30.0.4,10.0.3.178,TCP-80-IN,15789
172.10.0.3,10.0.3.77,TCP-25-IN,3497
172.10.1.13,10.1.0.100,TCP-OTHER-IN,2
172.10.1.145,10.1.0.100,TCP-OTHER-IN,7
172.10.1.148,10.1.0.100,TCP-OTHER-IN,1
172.10.1.26,10.1.0.100,TCP-OTHER-IN,1
172.10.1.99,10.1.0.100,TCP-OTHER-IN,5
172.10.1.170,10.1.0.75,TCP-OTHER-IN,4
172.10.1.217,10.1.0.75,TCP-OTHER-IN,3
172.10.1.79,10.1.0.75,TCP-OTHER-IN,4
172.30.1.28,10.1.0.75,TCP-OTHER-IN,4
172.30.1.58,10.1.0.75,TCP-OTHER-IN,3
172.30.1.74,10.1.0.75,TCP-OTHER-IN,3
172.30.1.95,10.1.0.75,TCP-OTHER-IN,2
172.30.2.100,10.1.0.75,TCP-OTHER-IN,4
172.30.2.125,10.1.0.75,TCP-OTHER-IN,7
172.30.2.59,10.1.0.75,TCP-OTHER-IN,5
172.30.2.78,10.1.0.75,TCP-OTHER-IN,4
172.30.2.82,10.1.0.75,TCP-OTHER-IN,1
172.30.2.85,10.1.0.75,TCP-OTHER-IN,4
172.10.1.155,10.1.0.76,TCP-OTHER-IN,1
172.10.1.55,10.1.0.76,TCP-OTHER-IN,2
172.10.1.63,10.1.0.76,TCP-OTHER-IN,5
172.10.1.64,10.1.0.76,TCP-OTHER-IN,5
172.10.1.77,10.1.0.76,TCP-OTHER-IN,2
172.10.1.85,10.1.0.76,TCP-OTHER-IN,1
172.30.2.115,10.1.0.76,TCP-OTHER-IN,6
172.30.2.87,10.1.0.76,TCP-OTHER-IN,3
172.10.1.103,10.1.0.77,TCP-OTHER-IN,2
172.10.1.143,10.1.0.77,TCP-OTHER-IN,1
172.10.1.164,10.1.0.77,TCP-OTHER-IN,1
172.10.1.232,10.1.0.77,TCP-OTHER-IN,3
172.10.1.234,10.1.0.77,TCP-OTHER-IN,2
172.10.1.239,10.1.0.77,TCP-OTHER-IN,1
172.10.1.58,10.1.0.77,TCP-OTHER-IN,2
172.30.0.4,10.10.6.2,TCP-80-IN,634561
172.30.0.4,10.100.1.6,TCP-80-IN,1599878
172.30.0.4,10.11.6.15,TCP-80-IN,529517
172.10.0.3,10.13.77.49,TCP-25-IN,2181
172.10.0.4,10.13.77.49,TCP-80-IN,12284
172.10.0.5,10.13.77.49,TCP-80-IN,6347
172.10.0.7,10.13.77.49,TCP-80-IN,1699
172.10.0.8,10.13.77.49,TCP-80-IN,1727
172.10.0.9,10.13.77.49,TCP-80-IN,1711
172.20.0.15,10.13.77.49,TCP-80-IN,6011
172.20.0.3,10.13.77.49,TCP-25-IN,3861
172.20.0.4,10.13.77.49,TCP-80-IN,7672
172.20.0.6,10.13.77.49,TCP-80-IN,1731
172.30.0.4,10.13.77.49,TCP-25-IN,1440
172.30.0.4,10.13.77.49,TCP-80-IN,953770
172.20.0.6,10.138.121.140,TCP-80-IN,640
172.20.0.15,10.138.121.19,TCP-80-IN,5964
172.20.0.15,10.138.214.18,TCP-80-IN,1306023
172.10.0.5,10.138.214.211,TCP-80-IN,5042
172.10.0.4,10.138.214.213,TCP-80-IN,5608
172.20.0.15,10.138.214.39,TCP-80-IN,5574
172.20.0.4,10.138.235.111,TCP-80-IN,6704
172.20.0.6,10.138.235.166,TCP-80-IN,629
172.10.0.7,10.138.235.56,TCP-80-IN,595
172.20.0.15,10.138.235.95,TCP-80-IN,5212
172.10.0.4,10.156.165.117,TCP-80-IN,5444
172.20.0.4,10.156.165.120,TCP-80-IN,5976
172.30.0.4,10.156.165.212,TCP-25-IN,1438
172.30.0.4,10.156.165.212,TCP-80-IN,14283
172.10.0.7,10.156.165.54,TCP-80-IN,636
172.10.0.9,10.156.215.101,TCP-80-IN,620
172.10.0.9,10.156.215.223,TCP-80-IN,692
172.10.0.7,10.156.215.83,TCP-80-IN,654
172.10.0.9,10.156.81.164,TCP-80-IN,657
172.20.0.6,10.156.81.176,TCP-80-IN,613
172.30.0.4,10.16.5.15,TCP-80-IN,1652152
172.10.0.4,10.170.121.155,TCP-80-IN,5111
172.10.0.8,10.170.121.55,TCP-80-IN,606
172.10.0.4,10.170.148.135,TCP-80-IN,5703
172.30.0.4,10.170.148.209,TCP-25-IN,1443
172.30.0.4,10.170.148.209,TCP-80-IN,13982
172.20.0.3,10.170.148.52,TCP-25-IN,3497
172.20.0.3,10.170.148.64,TCP-25-IN,3485
172.20.0.4,10.170.32.110,TCP-80-IN,582664
172.20.0.4,10.170.32.181,TCP-80-IN,1263430
172.30.0.4,10.170.32.239,TCP-25-IN,1444
172.30.0.4,10.170.32.239,TCP-80-IN,14671
172.10.0.5,10.170.32.36,TCP-80-IN,5211
172.30.0.4,10.18.6.123,TCP-80-IN,1217118
172.10.0.40,10.199.250.2,TCP-OTHER-IN,39
172.10.1.102,10.199.250.2,TCP-OTHER-IN,4
172.10.1.105,10.199.250.2,TCP-OTHER-IN,4
172.10.1.107,10.199.250.2,TCP-OTHER-IN,9
172.10.1.109,10.199.250.2,TCP-OTHER-IN,7
172.10.1.111,10.199.250.2,TCP-OTHER-IN,5
172.10.1.112,10.199.250.2,TCP-OTHER-IN,4
172.10.1.114,10.199.250.2,TCP-OTHER-IN,5
172.10.1.115,10.199.250.2,TCP-OTHER-IN,5
172.10.1.117,10.199.250.2,TCP-OTHER-IN,3
172.10.1.119,10.199.250.2,TCP-OTHER-IN,3
172.10.1.120,10.199.250.2,TCP-OTHER-IN,6
172.10.1.121,10.199.250.2,TCP-OTHER-IN,6
172.10.1.122,10.199.250.2,TCP-OTHER-IN,3
172.10.1.123,10.199.250.2,TCP-OTHER-IN,6
172.10.1.127,10.199.250.2,TCP-OTHER-IN,6
172.10.1.128,10.199.250.2,TCP-OTHER-IN,5
172.10.1.129,10.199.250.2,TCP-OTHER-IN,6
172.10.1.132,10.199.250.2,TCP-OTHER-IN,5
172.10.1.133,10.199.250.2,TCP-OTHER-IN,5
172.10.1.134,10.199.250.2,TCP-OTHER-IN,6
172.10.1.135,10.199.250.2,TCP-OTHER-IN,8
172.10.1.137,10.199.250.2,TCP-OTHER-IN,8
172.10.1.138,10.199.250.2,TCP-OTHER-IN,6
172.10.1.139,10.199.250.2,TCP-OTHER-IN,3
172.10.1.140,10.199.250.2,TCP-OTHER-IN,5
172.10.1.141,10.199.250.2,TCP-OTHER-IN,9
172.10.1.142,10.199.250.2,TCP-OTHER-IN,5
172.10.1.143,10.199.250.2,TCP-OTHER-IN,8
172.10.1.144,10.199.250.2,TCP-OTHER-IN,6
172.10.1.146,10.199.250.2,TCP-OTHER-IN,4
172.10.1.147,10.199.250.2,TCP-OTHER-IN,9
172.10.1.149,10.199.250.2,TCP-OTHER-IN,4
172.10.1.152,10.199.250.2,TCP-OTHER-IN,4
172.10.1.153,10.199.250.2,TCP-OTHER-IN,7
172.10.1.154,10.199.250.2,TCP-OTHER-IN,6
172.10.1.155,10.199.250.2,TCP-OTHER-IN,10
172.10.1.156,10.199.250.2,TCP-OTHER-IN,6
172.10.1.158,10.199.250.2,TCP-OTHER-IN,3
172.10.1.159,10.199.250.2,TCP-OTHER-IN,5
172.10.1.160,10.199.250.2,TCP-OTHER-IN,3
172.10.1.161,10.199.250.2,TCP-OTHER-IN,6
172.10.1.162,10.199.250.2,TCP-OTHER-IN,5
172.10.1.163,10.199.250.2,TCP-OTHER-IN,7
172.10.1.164,10.199.250.2,TCP-OTHER-IN,2
172.10.1.165,10.199.250.2,TCP-OTHER-IN,4
172.10.1.166,10.199.250.2,TCP-OTHER-IN,7
172.10.1.167,10.199.250.2,TCP-OTHER-IN,1
172.10.1.171,10.199.250.2,TCP-OTHER-IN,3
172.10.1.172,10.199.250.2,TCP-OTHER-IN,4
172.10.1.174,10.199.250.2,TCP-OTHER-IN,4
172.10.1.176,10.199.250.2,TCP-OTHER-IN,2
172.10.1.178,10.199.250.2,TCP-OTHER-IN,7
172.10.1.181,10.199.250.2,TCP-OTHER-IN,7
172.10.1.182,10.199.250.2,TCP-OTHER-IN,4
172.10.1.183,10.199.250.2,TCP-OTHER-IN,2
172.10.1.184,10.199.250.2,TCP-OTHER-IN,7
172.10.1.186,10.199.250.2,TCP-OTHER-IN,3
172.10.1.189,10.199.250.2,TCP-OTHER-IN,3
172.10.1.190,10.199.250.2,TCP-OTHER-IN,5
172.10.1.192,10.199.250.2,TCP-OTHER-IN,3
172.10.1.193,10.199.250.2,TCP-OTHER-IN,6
172.10.1.194,10.199.250.2,TCP-OTHER-IN,2
172.10.1.195,10.199.250.2,TCP-OTHER-IN,5
172.10.1.198,10.199.250.2,TCP-OTHER-IN,6
172.10.1.199,10.199.250.2,TCP-OTHER-IN,6
172.10.1.200,10.199.250.2,TCP-OTHER-IN,3
172.20.0.4,10.2.6.49,TCP-80-IN,5549
172.10.0.5,10.247.106.144,TCP-80-IN,4658
172.20.0.6,10.247.106.242,TCP-80-IN,647
172.20.0.4,10.247.106.27,TCP-80-IN,1239110
172.10.0.9,10.247.106.59,TCP-80-IN,686
172.10.0.8,10.247.119.127,TCP-80-IN,656
172.20.0.6,10.247.119.132,TCP-80-IN,652
172.10.0.5,10.247.58.129,TCP-80-IN,4918
172.20.0.4,10.247.58.182,TCP-80-IN,5437
172.10.0.8,10.247.58.85,TCP-80-IN,656
172.20.0.6,10.249.102.50,TCP-80-IN,607
172.10.0.9,10.249.102.86,TCP-80-IN,595
172.10.0.4,10.249.157.108,TCP-80-IN,4501
172.10.0.9,10.249.157.162,TCP-80-IN,596
172.20.0.3,10.249.28.136,TCP-25-IN,3497
172.10.0.8,10.249.28.194,TCP-80-IN,647
172.10.0.3,10.27.59.101,TCP-25-IN,3496
172.10.0.3,10.3.1.25,TCP-25-IN,9
172.10.0.3,10.32.42.116,TCP-25-IN,3494
